CRS,REGIAO_SAU,MUNICIPIO,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
6º CRS,TOCANTINS,ABAETETUBA,1595,1595,677,0,0,0,0,1595,677,839
11º CRS,CARAJÁS,ABEL FIGUEIREDO,86,86,60,0,0,0,0,86,60,60
2º CRS,METROPOLITANA II,ACARA,330,330,159,0,0,2,2,332,161,98
7º CRS,MARAJO I,AFUA,322,322,274,0,0,0,0,322,274,224
12º CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,177,29,0,0,0,0,177,29,64
9º CRS,BAIXO AMAZONAS,ALENQUER,1281,465,270,0,0,0,0,465,270,231
9º CRS,BAIXO AMAZONAS,ALMEIRIM,608,289,241,0,0,0,0,289,241,314
10º CRS,XINGU,ALTAMIRA,4467,4377,1160,1978,0,0,0,6355,1160,883
8º CRS,MARAJO II,ANAJAS,164,164,170,0,0,0,0,164,170,153
1º CRS,METROPOLITANA I,ANANINDEUA,6700,6700,3703,0,0,11,11,6711,3714,1302
10º CRS,XINGU,ANAPU,1112,1112,125,882,0,0,0,1994,125,105
4º CRS,RIO CAETES,AUGUSTO CORREA,308,308,81,0,0,0,0,308,81,202
5º CRS,METROPOLITANA III,AURORA DO PARA,193,193,145,0,0,0,0,193,145,130
9º CRS,TAPAJOS,AVEIRO,640,420,70,320,0,0,0,740,70,47
8º CRS,MARAJO II,BAGRE,187,187,194,0,0,0,0,187,194,177
13º CRS,TOCANTINS,BAIAO,293,294,163,87,0,0,0,381,163,158
12º CRS,ARAGUAIA,BANNACH,66,156,27,90,0,0,0,246,27,25
6º CRS,TOCANTINS,BARCARENA,1638,1638,1335,0,0,0,0,1638,1335,1073
1º CRS,METROPOLITANA I,BELEM,39033,39033,16116,0,0,172,307,39205,16423,4036
9º CRS,BAIXO AMAZONAS,BELTERRA,771,459,123,320,0,0,0,779,123,74
1º CRS,METROPOLITANA I,BENEVIDES,512,512,305,0,0,0,0,512,305,275
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,679,679,174,508,310,0,0,1187,484,553
4º CRS,RIO CAETES,BONITO,108,108,33,0,0,0,0,108,33,42
4º CRS,RIO CAETES,BRAGANCA,1381,1381,656,0,0,0,0,1381,656,853
10º CRS,XINGU,BRASIL NOVO,161,161,50,0,0,0,0,161,50,55
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,76,76,90,0,0,0,0,76,90,65
11º CRS,LAGO TUCURUÍ,BREU BRANCO,328,328,166,0,0,5,5,333,171,149
8º CRS,MARAJO II,BREVES,859,859,619,0,0,0,0,859,619,417
2º CRS,METROPOLITANA II,BUJARU,143,143,134,0,0,0,0,143,134,117
7º CRS,MARAJO I,CACHOEIRA DO ARARI,133,133,56,0,0,0,0,133,56,109
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,172,44,0,0,0,0,172,44,61
13º CRS,TOCANTINS,CAMETA,1107,1108,725,0,0,0,0,1108,725,506
11º CRS,CARAJÁS,CANAA DOS CARAJAS,644,644,321,35,0,0,0,679,321,330
4º CRS,RIO CAETES,CAPANEMA,1466,1466,223,0,0,19,19,1485,242,582
5º CRS,METROPOLITANA III,CAPITAO POCO,572,572,436,0,0,0,0,572,436,346
3º CRS,METROPOLITANA III,CASTANHAL,2481,2481,2526,0,0,38,0,2519,2526,445
7º CRS,MARAJO I,CHAVES,158,158,61,0,0,0,0,158,61,69
2º CRS,METROPOLITANA II,COLARES,115,115,71,0,0,0,0,115,71,46
12º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,895,200,0,0,10,0,905,200,447
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,220,220,211,0,0,0,0,220,211,142
12º CRS,ARAGUAIA,CUMARU DO NORTE,115,895,38,780,0,0,0,1675,38,41
11º CRS,CARAJÁS,CURIONOPOLIS,166,166,60,0,0,5,5,171,65,47
8º CRS,MARAJO II,CURRALINHO,151,151,126,0,0,0,0,151,126,113
9º CRS,BAIXO AMAZONAS,CURUA,218,94,78,0,0,0,0,94,78,71
3º CRS,METROPOLITANA III,CURUCA,329,329,336,0,0,0,0,329,336,283
5º CRS,CARAJÁS,DOM ELISEU,455,455,140,0,0,0,0,455,140,172
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,193,193,193,0,0,0,0,193,193,160
9º CRS,BAIXO AMAZONAS,FARO,245,153,149,0,0,0,0,153,149,77
12º CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,234,26,0,0,0,0,234,26,61
5º CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,387,121,0,0,0,0,387,121,87
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,321,321,160,42,36,0,0,363,196,118
8º CRS,MARAJO II,GURUPA,277,277,242,0,0,0,0,277,242,209
3º CRS,METROPOLITANA III,IGARAPE-ACU,347,347,101,0,0,0,0,347,101,207
6º CRS,TOCANTINS,IGARAPE-MIRI,476,476,266,0,0,0,0,476,266,320
3º CRS,METROPOLITANA III,INHANGAPI,100,100,351,0,0,0,0,100,351,73
5º CRS,METROPOLITANA III,IPIXUNA DO PARA,450,450,159,0,0,0,0,450,159,25
5º CRS,METROPOLITANA III,IRITUIA,236,236,220,0,0,0,0,236,220,112
