CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
6º CRS,TOCANTINS,ABAETETUBA,1595,1664,1069,0,0,0,0,1664,1069,1106
11º CRS,CARAJÁS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,82,83,65
2º CRS,METROPOLITANA II,ACARA,330,315,219,0,0,0,2,315,221,147
7º CRS,MARAJO I,AFUA,322,331,300,0,0,0,0,331,300,224
12º CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,201,29,0,0,0,0,201,29,124
9º CRS,BAIXO AMAZONAS,ALENQUER,465,449,341,0,0,7,0,456,341,645
9º CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,278,0,0,0,0,308,278,403
10º CRS,XINGU,ALTAMIRA,4467,2017,1816,1978,380,0,0,3995,2196,1404
8º CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,158,170,174
1º CRS,METROPOLITANA I,ANANINDEUA,6700,6350,3703,0,0,11,11,6361,3714,2328
10º CRS,XINGU,ANAPU,1112,223,128,882,0,0,0,1105,128,114
4º CRS,RIO CAETES,AUGUSTO CORREA,308,303,278,0,0,0,0,303,278,249
5º CRS,METROPOLITANA III,AURORA DO PARA,193,201,183,0,0,0,0,201,183,197
9º CRS,TAPAJOS,AVEIRO,420,105,110,320,0,0,0,425,110,103
8º CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,182,194,182
13º CRS,TOCANTINS,BAIAO,293,285,163,87,0,0,0,372,163,190
12º CRS,ARAGUAIA,BANNACH,66,64,27,90,0,0,0,154,27,27
6º CRS,TOCANTINS,BARCARENA,1638,1560,1478,0,0,0,1,1560,1479,1295
1º CRS,METROPOLITANA I,BELEM,39033,34279,16116,0,0,172,307,34451,16423,6405
9º CRS,BAIXO AMAZONAS,BELTERRA,459,153,123,320,0,0,0,473,123,166
1º CRS,METROPOLITANA I,BENEVIDES,512,476,335,0,0,0,0,476,335,407
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,679,165,174,508,310,0,0,673,484,163
4º CRS,RIO CAETES,BONITO,108,95,84,0,0,0,0,95,84,71
4º CRS,RIO CAETES,BRAGANCA,1381,1310,1319,0,0,0,0,1310,1319,1188
10º CRS,XINGU,BRASIL NOVO,161,158,95,0,0,0,0,158,95,88
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,76,71,70,0,0,0,0,71,70,80
11º CRS,LAGO TUCURUÍ,BREU BRANCO,328,284,277,0,0,5,5,289,282,225
8º CRS,MARAJO II,BREVES,859,792,759,0,0,0,0,792,759,692
2º CRS,METROPOLITANA II,BUJARU,143,133,190,0,0,0,0,133,190,155
7º CRS,MARAJO I,CACHOEIRA DO ARARI,133,97,136,0,0,0,0,97,136,149
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,190,99,0,0,0,0,190,99,102
13º CRS,TOCANTINS,CAMETA,1107,1055,725,0,0,0,0,1055,725,565
11º CRS,CARAJÁS,CANAA DOS CARAJAS,644,571,540,35,0,0,0,606,540,421
4º CRS,RIO CAETES,CAPANEMA,1466,1427,811,0,0,19,19,1446,830,757
5º CRS,METROPOLITANA III,CAPITAO POCO,572,516,487,0,0,0,0,516,487,628
3º CRS,METROPOLITANA III,CASTANHAL,2481,2464,328,0,0,38,0,2502,328,1054
7º CRS,MARAJO I,CHAVES,158,142,61,0,0,0,0,142,61,102
2º CRS,METROPOLITANA II,COLARES,115,111,158,0,0,0,0,111,158,79
12º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,854,715,0,0,10,0,864,715,712
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,220,211,304,0,0,0,0,211,304,194
12º CRS,ARAGUAIA,CUMARU DO NORTE,115,124,38,780,0,0,0,904,38,38
11º CRS,CARAJÁS,CURIONOPOLIS,166,159,77,0,0,0,5,159,82,45
8º CRS,MARAJO II,CURRALINHO,151,167,186,0,0,0,0,167,186,136
9º CRS,BAIXO AMAZONAS,CURUA,94,85,90,0,0,0,0,85,90,103
3º CRS,METROPOLITANA III,CURUCA,329,309,335,0,0,0,0,309,335,325
5º CRS,CARAJÁS,DOM ELISEU,455,514,161,0,0,0,0,514,161,227
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,193,187,193,0,0,0,0,187,193,156
9º CRS,BAIXO AMAZONAS,FARO,153,152,149,0,0,0,0,152,149,168
12º CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,230,102,0,0,0,0,230,102,87
5º CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,506,200,0,0,0,0,506,200,223
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,321,280,212,42,37,0,0,322,249,146
8º CRS,MARAJO II,GURUPA,277,336,303,0,0,0,0,336,303,278
