CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
1 CRS,METROPOLITANA I,ANANINDEUA,6700,6350,5497,0,0,11,11,6361,5508,3149
1 CRS,METROPOLITANA I,BELEM,39033,34279,16116,0,0,172,307,34451,16423,9342
1 CRS,METROPOLITANA I,BENEVIDES,512,476,491,0,0,0,0,476,491,496
1 CRS,METROPOLITANA I,MARITUBA,1161,1290,900,0,0,43,41,1333,941,935
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,191,199,0,0,0,0,191,199,203
10 CRS,XINGU,ALTAMIRA,4467,2017,1853,1978,380,0,0,3995,2233,1954
10 CRS,XINGU,ANAPU,1112,223,138,882,0,0,0,1105,138,138
10 CRS,XINGU,BRASIL NOVO,161,158,100,0,0,0,0,158,100,94
10 CRS,XINGU,MEDICILANDIA,189,171,202,0,0,7,7,178,209,200
10 CRS,XINGU,PACAJA,286,242,183,0,0,0,0,242,183,164
10 CRS,XINGU,PORTO DE MOZ,264,222,231,13,0,0,0,235,231,230
10 CRS,XINGU,SENADOR JOSE PORFIRIO,670,115,123,544,0,0,0,659,123,88
10 CRS,XINGU,URUARA,354,351,2120,0,0,0,0,351,2120,223
10 CRS,XINGU,VITORIA DO XINGU,539,243,238,283,0,0,0,526,238,420
11 CRS,CARAJAS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,82,83,73
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,679,165,174,508,310,0,0,673,484,176
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,76,71,80,0,0,0,0,71,80,83
11 CRS,LAGO TUCURUI,BREU BRANCO,328,284,297,0,0,5,5,289,302,286
11 CRS,CARAJAS,CANAA DOS CARAJAS,644,571,624,35,0,0,0,606,624,608
11 CRS,CARAJAS,CURIONOPOLIS,166,159,126,0,0,0,5,159,131,76
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,193,187,193,0,0,0,0,187,193,193
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,321,280,231,42,37,0,0,322,268,144
11 CRS,CARAJAS,ITUPIRANGA,718,311,291,370,0,13,12,694,303,259
11 CRS,LAGO TUCURUI,JACUNDA,370,288,310,38,0,0,0,326,310,292
