CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
6 CRS,TOCANTINS,ABAETETUBA,3062,1664,1664,0,0,0,0,1946,162,3610,1826,1413
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,82,83,0,0,0,0,97,0,179,83,73
2 CRS,METROPOLITANA II,ACARA,647,315,309,0,0,0,2,551,0,866,311,335
7 CRS,MARAJO I,AFUA,798,331,300,0,0,0,0,335,0,666,300,299
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,201,126,0,0,0,0,117,0,318,126,129
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,449,372,0,0,7,0,821,535,1277,907,957
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,308,289,614,369,0,0,319,175,1241,833,476
10 CRS,XINGU,ALTAMIRA,11994,2017,2216,3294,399,0,0,1241,0,6552,2615,1788
8 CRS,MARAJO II,ANAJAS,440,158,190,0,0,0,0,214,0,372,190,190
1 CRS,METROPOLITANA I,ANANINDEUA,11990,6350,6195,0,0,11,20,5466,1793,11827,8008,8318
10 CRS,XINGU,ANAPU,416,223,147,386,0,0,0,162,0,771,147,245
4 CRS,RIO CAETES,AUGUSTO CORREA,603,303,309,0,0,0,0,463,0,766,309,307
5 CRS,METROPOLITANA III,AURORA DO PARA,390,201,191,28,0,0,0,279,0,508,191,191
9 CRS,TAPAJOS,AVEIRO,1030,105,110,490,0,0,0,220,40,815,150,142
8 CRS,MARAJO II,BAGRE,428,182,194,0,0,0,0,153,0,335,194,195
13 CRS,TOCANTINS,BAIAO,758,285,189,39,0,0,0,398,0,722,189,188
12 CRS,ARAGUAIA,BANNACH,302,64,62,90,0,0,0,46,0,200,62,49
6 CRS,TOCANTINS,BARCARENA,2852,1560,1598,0,0,0,1,952,261,2512,1860,1641
1 CRS,METROPOLITANA I,BELEM,67670,34279,16663,0,0,172,264,26178,11871,60629,28798,13155
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,153,130,307,0,0,0,312,220,772,350,101
1 CRS,METROPOLITANA I,BENEVIDES,943,476,498,0,0,0,0,623,13,1099,511,502
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,165,174,507,326,0,0,199,0,871,500,176
4 CRS,RIO CAETES,BONITO,204,95,117,0,0,0,0,149,0,244,117,117
4 CRS,RIO CAETES,BRAGANCA,2569,1310,1440,0,0,0,0,1579,0,2889,1440,1390
10 CRS,XINGU,BRASIL NOVO,328,158,114,0,0,0,0,226,0,384,114,102
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,71,80,0,0,0,0,110,0,181,80,83
11 CRS,LAGO TUCURUI,BREU BRANCO,633,284,307,0,0,5,5,549,0,838,312,306
8 CRS,MARAJO II,BREVES,2234,792,763,0,0,0,0,1039,0,1831,763,753
2 CRS,METROPOLITANA II,BUJARU,299,133,156,0,0,0,0,323,0,456,156,166
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,97,136,0,0,0,0,133,0,230,136,139
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,190,150,0,0,0,0,355,0,545,150,136
13 CRS,TOCANTINS,CAMETA,2143,1055,1134,0,0,0,0,1696,0,2751,1134,770
