CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSOS_80e,IDOSOS_80e_VAC_D1,IDOSOS_80e_VAC_D2,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUN_BUT,FUN_OSW,DoA,DoB
6 CRS,TOCANTINS,ABAETETUBA,3062,1610,1747,0,0,0,0,0,0,0,1946,175,0,3610,1922,0,1922,1455,934,521,1455,0
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,97,87,0,0,0,0,0,0,0,97,0,0,179,87,0,87,73,34,39,73,0
2 CRS,METROPOLITANA II,ACARA,647,376,324,0,0,0,0,0,2,0,551,0,0,866,326,0,326,355,211,144,355,0
7 CRS,MARAJO I,AFUA,798,333,315,0,0,0,0,0,0,0,335,0,0,666,315,0,315,299,190,109,298,1
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,156,135,0,0,0,0,0,0,0,117,0,0,318,135,0,135,137,97,40,137,0
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,521,391,131,0,0,0,7,0,0,821,565,0,1277,956,131,1087,963,311,652,876,87
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,282,303,0,614,369,0,0,0,0,319,183,0,1241,855,0,855,486,176,310,485,1
10 CRS,XINGU,ALTAMIRA,11994,3116,2258,0,3294,399,0,0,0,0,1241,76,0,6552,2733,0,2733,1879,1108,771,1878,1
8 CRS,MARAJO II,ANAJAS,440,184,190,27,0,0,0,0,0,0,214,30,0,372,220,27,247,230,150,80,209,21
1 CRS,METROPOLITANA I,ANANINDEUA,11990,7679,6505,424,0,0,0,11,20,0,5466,2404,0,11827,8929,424,9353,3409,3409,0,3408,1
10 CRS,XINGU,ANAPU,416,255,154,12,386,0,0,0,0,0,162,1,0,771,155,12,167,246,225,21,239,7
4 CRS,RIO CAETES,AUGUSTO CORREA,603,338,324,0,0,0,0,0,0,0,463,0,0,766,324,0,324,343,202,141,320,23
5 CRS,METROPOLITANA III,AURORA DO PARA,390,195,201,0,28,0,0,0,0,0,279,0,0,508,201,0,201,191,115,76,191,0
9 CRS,TAPAJOS,AVEIRO,1030,124,116,30,490,194,0,0,0,0,220,70,0,815,380,30,410,196,147,49,196,0
8 CRS,MARAJO II,BAGRE,428,207,204,85,0,0,0,0,0,0,153,0,0,335,204,85,289,213,122,91,213,0
13 CRS,TOCANTINS,BAIAO,758,327,202,90,39,0,0,0,0,0,398,0,0,722,202,90,292,188,148,40,188,0
12 CRS,ARAGUAIA,BANNACH,302,74,65,0,90,0,0,0,0,0,46,0,0,200,65,0,65,49,30,19,49,0
6 CRS,TOCANTINS,BARCARENA,2852,1866,1608,206,0,0,0,0,1,0,952,261,0,2512,1870,206,2076,1773,1041,732,1682,91
1 CRS,METROPOLITANA I,BELEM,67670,48613,17496,0,0,0,0,172,264,0,26178,11871,0,60629,29631,0,29631,14399,14399,0,14398,1
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,128,137,0,307,0,0,0,0,0,312,220,0,772,357,0,357,149,124,25,149,0
1 CRS,METROPOLITANA I,BENEVIDES,943,600,523,0,0,0,0,0,0,0,623,20,0,1099,543,0,543,509,509,0,509,0
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,193,183,0,507,326,0,0,0,0,199,0,0,871,508,0,508,192,111,81,192,0
4 CRS,RIO CAETES,BONITO,204,135,123,18,0,0,0,0,0,0,149,0,0,244,123,18,141,118,54,64,117,1
4 CRS,RIO CAETES,BRAGANCA,2569,1581,1458,100,0,0,0,0,0,0,1579,110,0,2889,1568,100,1668,1394,752,642,1389,5
10 CRS,XINGU,BRASIL NOVO,328,177,117,0,0,0,0,0,0,0,226,0,0,384,117,0,117,103,49,54,103,0
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,90,80,0,0,0,0,0,0,0,110,0,0,181,80,0,80,83,42,41,83,0
11 CRS,LAGO TUCURUI,BREU BRANCO,633,414,322,0,0,0,0,5,5,0,549,0,0,838,327,0,327,312,162,150,312,0
8 CRS,MARAJO II,BREVES,2234,1136,895,169,0,0,0,0,0,0,1039,112,0,1831,1007,169,1176,852,494,358,837,15
2 CRS,METROPOLITANA II,BUJARU,299,168,164,0,0,0,0,0,0,0,323,0,0,456,164,0,164,166,85,81,166,0
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,193,143,0,0,0,0,0,0,0,133,0,0,230,143,0,143,162,82,80,148,14
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,158,151,0,0,0,0,0,0,0,355,0,0,545,151,0,151,150,106,44,150,0
13 CRS,TOCANTINS,CAMETA,2143,1261,1172,425,0,0,0,0,0,0,1696,0,0,2751,1172,425,1597,775,545,230,775,0
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,706,655,0,16,0,0,0,0,0,154,0,0,741,655,0,655,608,319,289,608,0
4 CRS,RIO CAETES,CAPANEMA,2684,1626,1227,36,0,0,0,19,19,15,1161,23,0,2607,1269,51,1320,1156,897,259,1156,0
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,692,551,164,0,0,0,0,0,0,718,25,0,1234,576,164,740,975,745,230,970,5
3 CRS,METROPOLITANA III,CASTANHAL,4606,2683,2328,0,0,0,0,38,0,0,2282,0,0,4784,2328,0,2328,2739,1818,921,2344,395
7 CRS,MARAJO I,CHAVES,432,192,149,0,0,0,0,0,0,0,223,7,0,365,156,0,156,142,69,73,142,0
2 CRS,METROPOLITANA II,COLARES,245,129,119,0,0,0,0,0,0,0,246,0,0,357,119,0,119,113,62,51,113,0
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,1017,908,7,0,0,0,10,0,0,836,240,0,1700,1148,7,1155,1019,650,369,997,22
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,249,236,74,0,0,0,0,0,0,345,0,0,556,236,74,310,237,143,94,225,12
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,111,141,2,816,10,0,0,0,0,35,0,0,975,151,2,153,58,49,9,58,0
11 CRS,CARAJAS,CURIONOPOLIS,361,188,146,0,0,0,0,0,5,0,323,0,0,482,151,0,151,107,70,37,107,0
8 CRS,MARAJO II,CURRALINHO,512,205,195,78,0,0,0,0,0,0,281,45,0,448,240,78,318,307,219,88,230,77
9 CRS,BAIXO AMAZONAS,CURUA,266,113,95,25,0,0,0,0,0,0,125,105,0,210,200,25,225,165,45,120,165,0
3 CRS,METROPOLITANA III,CURUCA,696,381,485,0,0,0,0,0,0,0,753,0,0,1062,485,0,485,508,348,160,349,159
5 CRS,CARAJAS,DOM ELISEU,842,404,328,15,0,0,0,0,0,0,415,0,0,929,328,15,343,336,190,146,314,22
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,216,225,0,0,0,0,0,0,0,283,0,0,470,225,0,225,203,118,85,201,2
9 CRS,BAIXO AMAZONAS,FARO,334,165,163,0,0,0,0,0,0,0,96,92,0,248,255,0,255,253,124,129,231,22
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,257,135,14,0,0,0,0,0,0,199,0,0,429,135,14,149,134,87,47,132,2
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,246,274,18,0,0,0,0,0,0,296,7,0,802,281,18,299,302,247,55,285,17
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,296,262,0,42,39,0,0,0,0,276,0,0,598,301,0,301,160,160,0,160,0
8 CRS,MARAJO II,GURUPA,312,295,328,0,0,0,0,0,0,0,284,0,0,620,328,0,328,313,192,121,313,0
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,390,374,0,0,0,0,0,0,0,614,0,0,948,374,0,374,374,189,185,374,0
6 CRS,TOCANTINS,IGARAPE-MIRI,942,524,489,26,0,0,0,0,0,0,814,40,0,1280,529,26,555,510,313,197,493,17
3 CRS,METROPOLITANA III,INHANGAPI,191,122,106,0,0,0,0,0,0,0,152,0,0,241,106,0,106,141,91,50,108,33
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,774,571,412,66,0,0,0,0,0,0,252,14,0,639,426,66,492,464,253,211,412,52
5 CRS,METROPOLITANA III,IRITUIA,524,201,261,0,0,0,0,0,0,0,534,0,0,806,261,0,261,238,160,78,226,12
9 CRS,TAPAJOS,ITAITUBA,4199,1406,1206,0,672,219,0,29,26,0,1032,520,0,2955,1972,0,1972,1485,1299,186,1483,2
11 CRS,CARAJAS,ITUPIRANGA,1471,426,329,0,283,0,0,13,12,0,470,0,0,1077,341,0,341,326,199,127,326,0
9 CRS,TAPAJOS,JACAREACANGA,9742,219,84,0,4964,714,0,0,0,0,34,3,0,5185,801,0,801,351,351,0,351,0
11 CRS,LAGO TUCURUI,JACUNDA,736,417,336,0,42,0,0,0,0,0,556,0,0,886,336,0,336,295,160,135,295,0
9 CRS,BAIXO AMAZONAS,JURUTI,1392,598,502,140,0,0,0,0,0,0,496,340,0,1032,842,140,982,195,138,57,195,0
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,437,287,238,51,0,0,0,0,0,0,286,0,0,490,238,51,289,139,99,40,139,0
5 CRS,METROPOLITANA III,MAE DO RIO,580,419,317,93,0,0,0,0,0,0,418,0,0,675,317,93,410,278,141,137,278,0
3 CRS,METROPOLITANA III,MAGALHAES BARATA,150,76,71,0,0,0,0,0,0,0,160,0,0,229,71,0,71,73,44,29,66,7
11 CRS,CARAJAS,MARABA,5449,3758,2976,0,0,0,0,25,43,0,2173,0,0,4971,3019,0,3019,440,10,430,440,0
3 CRS,METROPOLITANA III,MARACANA,485,249,229,0,0,0,0,0,0,0,548,0,0,766,229,0,229,202,121,81,202,0
3 CRS,METROPOLITANA III,MARAPANIM,750,431,400,0,0,0,0,0,0,0,590,0,0,958,400,0,400,386,192,194,386,0
1 CRS,METROPOLITANA I,MARITUBA,2251,1060,1125,448,0,0,0,43,43,38,929,38,0,2262,1206,486,1692,1589,1589,0,1172,417
10 CRS,XINGU,MEDICILANDIA,379,229,233,75,0,0,0,7,7,0,254,0,0,432,240,75,315,281,170,111,225,56
8 CRS,MARAJO II,MELGACO,522,288,216,28,0,0,0,0,0,0,129,15,0,375,231,28,259,186,137,49,186,0
13 CRS,TOCANTINS,MOCAJUBA,482,288,217,29,0,0,0,0,0,0,463,0,0,677,217,29,246,201,121,80,200,1
6 CRS,TOCANTINS,MOJU,858,394,322,0,87,69,0,0,0,0,668,26,0,1062,418,0,418,222,190,32,222,0
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,464,115,133,0,0,0,0,0,0,0,261,199,0,387,332,0,332,0,0,0,0,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,1596,426,383,158,0,0,0,0,0,0,951,778,0,1333,1161,158,1319,991,251,740,985,6
7 CRS,MARAJO I,MUANA,588,220,210,0,0,0,0,0,0,0,360,94,0,542,304,0,304,232,136,96,232,0
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,254,148,145,0,0,0,0,0,0,0,129,0,0,267,145,0,145,149,89,60,138,11
11 CRS,CARAJAS,NOVA IPIXUNA,250,144,135,0,0,0,0,0,0,0,165,0,0,287,135,0,135,130,81,49,129,1
4 CRS,RIO CAETES,NOVA TIMBOTEUA,304,180,162,0,0,0,0,0,0,0,301,0,0,431,162,0,162,28,28,0,28,0
9 CRS,TAPAJOS,NOVO PROGRESSO,1842,270,238,34,0,0,0,0,0,0,96,19,0,305,257,34,291,289,176,113,263,26
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,690,489,0,443,0,0,0,0,0,536,0,0,1587,489,0,489,459,318,141,459,0
9 CRS,BAIXO AMAZONAS,OBIDOS,2999,381,412,22,1259,404,0,0,0,0,734,494,0,2414,1310,22,1332,605,190,415,605,0
