CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,TRAB_SAUDE_75_TOTAL_VAC,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,INDIGENAS_TOTAL_VAC,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,MAIOR_60_TOTAL_VAC,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,IDOSOS_90e_TOTAL,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUNDACAO BUTANTAN,FUNDACAO OSWALDO CRUZ,DoA,DoB
6 CRS,TOCANTINS,ABAETETUBA,3062,1610,1747,0,1747,0,0,0,0,0,0,0,0,1946,175,0,175,3610,1922,0,1922,1455,934,521,1455,0
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,97,87,0,87,0,0,0,0,0,0,0,0,97,0,0,0,179,87,0,87,73,34,39,73,0
2 CRS,METROPOLITANA II,ACARA,647,376,324,0,324,0,0,0,0,0,2,0,2,551,0,0,0,866,326,0,326,378,234,144,366,12
7 CRS,MARAJO I,AFUA,798,333,315,0,315,0,0,0,0,0,0,0,0,335,120,0,120,666,435,0,435,394,285,109,393,1
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,156,135,0,135,0,0,0,0,0,0,0,0,117,0,0,0,318,135,0,135,138,98,40,138,0
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,521,391,150,541,0,0,0,0,7,0,0,0,821,586,0,586,1277,977,150,1127,1053,397,656,909,144
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,282,303,137,440,614,369,0,369,0,0,0,0,319,183,0,183,1241,855,137,992,632,322,310,485,147
10 CRS,XINGU,ALTAMIRA,7874,3116,2308,255,2563,3294,481,0,481,0,0,0,0,1241,117,0,117,6552,2906,255,3161,1961,1108,853,1960,1
8 CRS,MARAJO II,ANAJAS,440,184,190,49,239,0,0,0,0,0,0,0,0,214,77,0,77,372,267,49,316,307,227,80,258,49
1 CRS,METROPOLITANA I,ANANINDEUA,11990,7679,6505,1358,7863,0,0,0,0,11,20,16,36,5466,3572,0,3572,11827,10097,1374,11471,4428,4428,0,4403,25
