CRS,REGIAO_SAU,MUNICIPIOS,ENVIADOS_SESPA,RECEBIDOS_MUNICIPIOS,TRAB_SAUDE_100,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSO_80_89,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,POP_TOTAL,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC
6 CRS,TOCANTINS,ABAETETUBA,3062,3062,2147,1610,1496,0,0,0,0,0,0,0,1551,395,175,0,2005,1671,0,1671
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,163,130,97,83,0,0,0,0,0,0,0,77,20,0,0,117,83,0,83
2 CRS,METROPOLITANA II,ACARA,647,330,501,376,309,0,0,0,0,0,0,0,439,0,0,0,376,309,0,309
7 CRS,MARAJO I,AFUA,798,609,444,333,300,0,0,0,0,0,0,0,267,68,120,0,401,420,0,420
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,340,208,156,135,0,0,0,0,2,0,0,93,24,0,0,182,135,0,135
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,1579,695,521,390,150,0,0,0,0,0,0,654,821,586,0,1342,976,150,1126
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,1142,375,282,299,156,0,0,0,0,0,0,254,319,183,0,601,482,156,638
10 CRS,XINGU,ALTAMIRA,11994,2472,4155,3116,2308,255,1771,481,0,0,17,0,989,252,117,0,5139,2923,255,3178
8 CRS,MARAJO II,ANAJAS,440,440,246,184,190,49,0,0,0,0,0,0,171,43,77,0,228,267,49,316
1 CRS,METROPOLITANA I,ANANINDEUA,11990,11990,10239,7679,4404,1388,0,0,0,18,20,16,4356,1110,3597,0,8807,8021,1404,9425
10 CRS,XINGU,ANAPU,416,238,341,255,154,20,386,193,0,0,0,0,129,33,2,0,674,349,20,369
4 CRS,RIO CAETES,AUGUSTO CORREA,603,606,451,338,313,120,0,0,0,0,0,0,369,94,75,0,432,388,120,508
5 CRS,METROPOLITANA III,AURORA DO PARA,390,390,260,195,191,0,37,0,0,0,0,0,222,57,0,0,288,191,0,191
