CRS,REGIAO_SAU,MUNICIPIO,TRAB_SAUDE_40,TRAB_SAUDE_40_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC
6º CRS,TOCANTINS,ABAETETUBA,951,651,0,0,0,0
11º CRS,CARAJÁS,ABEL FIGUEIREDO,47,37,0,0,0,0
2º CRS,METROPOLITANA II,ACARA,180,113,0,0,0,2
7ºCRS,MARAJO I,AFUA,189,0,0,0,0,0
12ºCRS,ARAGUAIA,AGUA AZUL DO NORTE,115,29,0,0,0,0
9º CRS,BAIXO AMAZONAS,ALENQUER,257,169,0,0,0,0
9º CRS,BAIXO AMAZONAS,ALMEIRIM,176,166,0,0,0,0
10º CRS,XINGU,ALTAMIRA,1152,166,1978,0,0,0
8º CRS,MARAJO II,ANAJAS,90,37,0,37,0,0
1º CRS,METROPOLITANA I,ANANINDEUA,3628,1981,0,0,11,0
10º CRS,XINGU,ANAPU,128,83,882,0,0,0
4º CRS,RIO CAETES,AUGUSTO CORREA,173,81,0,0,0,0
5ºCRS,METROPOLITANA III,AURORA DO PARA,115,81,0,0,0,0
9º CRS,TAPAJOS,AVEIRO(180),60,32,310,0,0,0
8º CRS,MARAJO II,BAGRE,104,100,0,100,0,0
13º CRS,TOCANTINS,BAIAO,163,126,89,0,0,0
12ºCRS,ARAGUAIA,BANNACH,36,27,90,0,0,0
6º CRS,TOCANTINS,BARCARENA,891,802,0,1,0,0
1º CRS,METROPOLITANA I,BELEM,19588,8678,0,0,172,0
9º CRS,BAIXO AMAZONAS,BELTERRA,88,80,320,0,0,0
1º CRS,METROPOLITANA I,BENEVIDES,272,0,0,0,0,0
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,94,94,508,310,0,0
4º CRS,RIO CAETES,BONITO,54,33,0,0,0,0
4º CRS,RIO CAETES,BRAGANCA,749,656,0,0,0,0
10º CRS,XINGU,BRASIL NOVO,90,17,0,0,0,0
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,40,34,0,0,0,0
11º CRS,LAGO TUCURUÍ,BREU BRANCO,162,143,0,0,5,5
8º CRS,MARAJO II,BREVES,405,405,0,405,0,0
2º CRS,METROPOLITANA II,BUJARU,76,102,0,0,0,0
7ºCRS,MARAJO I,CACHOEIRA DO ARARI,56,56,0,0,0,0
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,109,44,0,0,0,0
13º CRS,TOCANTINS,CAMETA,603,478,0,0,0,0
11º CRS,CARAJÁS,CANAA DOS CARAJAS,326,299,35,0,0,0
4º CRS,RIO CAETES,CAPANEMA,815,223,0,0,19,19
5ºCRS,METROPOLITANA III,CAPITAO POCO,295,238,0,0,0,0
3º CRS,METROPOLITANA III,CASTANHAL,1408,2526,0,0,38,0
7ºCRS,MARAJO I,CHAVES,81,61,0,0,0,0
2º CRS,METROPOLITANA II,COLARES,63,158,0,0,0,0
12ºCRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,488,200,0,0,10,0
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,121,123,0,0,0,0
12ºCRS,ARAGUAIA,CUMARU DO NORTE,71,38,780,0,0,0
11º CRS,CARAJÁS,CURIONOPOLIS,91,52,0,0,0,5
8º CRS,MARAJO II,CURRALINHO,69,69,0,69,0,0
