CRS,REGIAO_SAU,Municipios,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC
6º CRS,TOCANTINS,ABAETETUBA,1595,803,0,0,0,0,1595,803
11º CRS,CARAJÁS,ABEL FIGUEIREDO,86,41,0,0,0,0,86,41
2º CRS,METROPOLITANA II,ACARA,330,113,0,0,2,2,332,115
7º CRS,MARAJO I,AFUA,322,118,0,0,0,0,322,118
12º CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,29,0,0,0,0,177,29
9º CRS,BAIXO AMAZONAS,ALENQUER,465,169,0,0,0,0,465,169
9º CRS,BAIXO AMAZONAS,ALMEIRIM,289,166,0,0,0,0,289,166
10º CRS,XINGU,ALTAMIRA,4377,814,1978,0,0,0,6355,814
8º CRS,MARAJO II,ANAJAS,164,120,0,0,0,0,164,120
1º CRS,METROPOLITANA I,ANANINDEUA,6700,1981,0,0,11,0,6711,1981
10º CRS,XINGU,ANAPU,1112,120,882,0,0,0,1994,120
4º CRS,RIO CAETES,AUGUSTO CORREA,308,81,0,0,0,0,308,81
5º CRS,METROPOLITANA III,AURORA DO PARA,193,81,0,0,0,0,193,81
9º CRS,TAPAJOS,AVEIRO,420,32,320,0,0,0,740,32
8º CRS,MARAJO II,BAGRE,187,174,0,0,0,0,187,174
13º CRS,TOCANTINS,BAIAO,294,126,87,0,0,0,381,126
12º CRS,ARAGUAIA,BANNACH,156,27,90,0,0,0,246,27
6º CRS,TOCANTINS,BARCARENA,1638,802,0,0,0,0,1638,802
1º CRS,METROPOLITANA I,BELEM,39033,11052,0,0,172,307,39205,11359
9º CRS,BAIXO AMAZONAS,BELTERRA,459,80,320,0,0,0,779,80
1º CRS,METROPOLITANA I,BENEVIDES,512,121,0,0,0,0,512,121
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,679,174,508,310,0,0,1187,484
4º CRS,RIO CAETES,BONITO,108,33,0,0,0,0,108,33
4º CRS,RIO CAETES,BRAGANCA,1381,656,0,0,0,0,1381,656
10º CRS,XINGU,BRASIL NOVO,161,49,0,0,0,0,161,49
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,76,59,0,0,0,0,76,59
11º CRS,LAGO TUCURUÍ,BREU BRANCO,328,166,0,0,5,5,333,171
8º CRS,MARAJO II,BREVES,859,539,0,0,0,0,859,539
2º CRS,METROPOLITANA II,BUJARU,143,102,0,0,0,0,143,102
7º CRS,MARAJO I,CACHOEIRA DO ARARI,133,56,0,0,0,0,133,56
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,44,0,0,0,0,172,44
13º CRS,TOCANTINS,CAMETA,1108,556,0,0,0,0,1108,556
11º CRS,CARAJÁS,CANAA DOS CARAJAS,644,321,35,0,0,0,679,321
4º CRS,RIO CAETES,CAPANEMA,1466,223,0,0,19,19,1485,242
5º CRS,METROPOLITANA III,CAPITAO POCO,572,238,0,0,0,0,572,238
3º CRS,METROPOLITANA III,CASTANHAL,2481,2526,0,0,38,0,2519,2526
7º CRS,MARAJO I,CHAVES,158,61,0,0,0,0,158,61
2º CRS,METROPOLITANA II,COLARES,115,158,0,0,0,0,115,158
12º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,200,0,0,10,0,905,200
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,220,135,0,0,0,0,220,135
12º CRS,ARAGUAIA,CUMARU DO NORTE,895,38,780,0,0,0,1675,38
11º CRS,CARAJÁS,CURIONOPOLIS,166,60,0,0,5,5,171,65
8º CRS,MARAJO II,CURRALINHO,151,96,0,0,0,0,151,96
9º CRS,BAIXO AMAZONAS,CURUA,94,42,0,0,0,0,94,42
3º CRS,METROPOLITANA III,CURUCA,329,336,0,0,0,0,329,336
5º CRS,CARAJÁS,DOM ELISEU,455,85,0,0,0,0,455,85
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,193,163,0,0,0,0,193,163
9º CRS,BAIXO AMAZONAS,FARO,153,59,0,0,0,0,153,59
12º CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,26,0,0,0,0,234,26
5º CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,121,0,0,0,0,387,121
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,321,119,42,36,0,0,363,155
8º CRS,MARAJO II,GURUPA,277,192,0,0,0,0,277,192
3º CRS,METROPOLITANA III,IGARAPE-ACU,347,101,0,0,0,0,347,101
6º CRS,TOCANTINS,IGARAPE-MIRI,476,266,0,0,0,0,476,266
3º CRS,METROPOLITANA III,INHANGAPI,100,351,0,0,0,0,100,351
5º CRS,METROPOLITANA III,IPIXUNA DO PARA,450,148,0,0,0,0,450,148
5º CRS,METROPOLITANA III,IRITUIA,236,56,0,0,0,0,236,56
9º CRS,TAPAJOS,ITAITUBA,1671,418,411,101,29,26,2111,545
11º CRS,CARAJÁS,ITUPIRANGA,718,149,370,0,13,12,1101,161
9º CRS,TAPAJOS,JACAREACANGA,4888,27,4694,0,0,0,9582,27
11º CRS,LAGO TUCURUÍ,JACUNDA,370,160,38,0,0,0,408,160
9º CRS,BAIXO AMAZONAS,JURUTI,545,182,0,0,0,0,545,182
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,232,106,0,0,0,0,232,106
5º CRS,METROPOLITANA III,MAE DO RIO,314,118,0,0,0,0,314,118
3º CRS,METROPOLITANA III,MAGALHAES BARATA,70,70,0,0,0,0,70,70
11º CRS,CARAJÁS,MARABA,3088,1368,0,0,25,43,3113,1411
3º CRS,METROPOLITANA III,MARACANA,224,225,0,0,0,0,224,225
3º CRS,METROPOLITANA III,MARAPANIM,383,390,0,0,0,0,383,390
1º CRS,METROPOLITANA I,MARITUBA,1161,557,0,0,43,0,1204,557
10º CRS,XINGU,MEDICILANDIA,189,180,0,0,7,0,196,180
8º CRS,MARAJO II,MELGACO,256,81,0,0,0,0,256,81
13º CRS,TOCANTINS,MOCAJUBA,237,47,0,0,0,0,237,47
6º CRS,TOCANTINS,MOJU,420,347,87,66,0,0,507,413
