CRS,REGIA_SAU,MUNICIPIO,TOTAL_VAC,TRAB_SAUDE_40,TRAB_SAUDE_40_COBERT,INDIGENAS,INDIGENAS_COBERT,MAIOR_60,MAIOR_60_COBERT,TOTAL_VAC,TOTAL_VAC,TOTAL_COBERT
12ºCRS,ARAGUAIA,AGUA AZUL DO NORTE,115,66,57,0,0,8,7,9,39,0
12ºCRS,ARAGUAIA,BANNACH,126,67,53,64,51,92,72,52,42,0
12ºCRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,498,155,31,0,0,0,0,0,135,0
12ºCRS,ARAGUAIA,CUMARU DO NORTE,851,93,11,205,24,36,4,30,223,0
12ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,63,48,0,0,0,0,0,43,0
12ºCRS,ARAGUAIA,OURILANDIA DO NORTE,1205,120,10,616,51,0,0,0,311,1
12ºCRS,ARAGUAIA,PAU D'ARCO,237,70,30,75,32,0,0,0,69,0
12ºCRS,ARAGUAIA,REDENCAO,765,201,26,36,5,0,0,0,201,0
12ºCRS,ARAGUAIA,RIO MARIA,124,91,73,0,0,0,0,0,41,0
12ºCRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,82,64,0,0,0,0,0,42,0
12ºCRS,ARAGUAIA,SANTANA DO ARAGUAIA,234,99,42,22,9,0,0,0,69,0
12ºCRS,ARAGUAIA,SAO FELIX DO XINGU,1115,147,13,526,47,0,0,0,289,1
12ºCRS,ARAGUAIA,SAPUCAIA,62,40,65,0,0,2,4,3,25,0
12ºCRS,ARAGUAIA,TUCUMA,334,105,31,0,0,0,0,0,93,0
12ºCRS,ARAGUAIA,XINGUARA,363,134,37,0,0,19,5,16,101,0
9º CRS,BAIXO AMAZONAS,ALENQUER,257,119,46,0,0,0,0,0,74,0
9º CRS,BAIXO AMAZONAS,ALMEIRIM,260,73,28,59,23,0,0,0,75,0
9º CRS,BAIXO AMAZONAS,BELTERRA,413,63,15,0,0,0,0,0,32,0
9º CRS,BAIXO AMAZONAS,CURUA,48,32,66,0,0,0,0,0,22,0
9º CRS,BAIXO AMAZONAS,FARO,87,69,79,0,0,0,0,0,32,0
9º CRS,BAIXO AMAZONAS,JURUTI,306,113,37,0,0,0,0,0,87,0
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,71,99,0,0,0,0,0,28,0
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,129,59,0,0,0,0,0,65,0
9º CRS,BAIXO AMAZONAS,OBIDOS,421,97,23,126,30,0,0,0,115,0
9º CRS,BAIXO AMAZONAS,ORIXIMINA,1780,111,6,1016,57,0,0,0,455,1
9º CRS,BAIXO AMAZONAS,PLACAS,111,58,52,0,0,0,0,0,38,0
9º CRS,BAIXO AMAZONAS,PRAINHA,123,65,53,0,0,0,0,0,41,0
9º CRS,BAIXO AMAZONAS,SANTAREM,6475,1058,16,2687,41,0,0,30,1629,3
9º CRS,BAIXO AMAZONAS,TERRA SANTA,98,66,67,0,0,0,0,0,35,0
