CRS,REGIA_SAU,MUNICIPIO,TOTAL_VAC,TRAB_SAUDE_40,INDIGENAS,MAIOR_60,TOTAL_VAC_DIA
12ºCRS,ARAGUAIA,AGUA AZUL DO NORTE,115,60,0,13,73
12ºCRS,ARAGUAIA,BANNACH,126,55,50,20,125
12ºCRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,498,149,0,0,149
12ºCRS,ARAGUAIA,CUMARU DO NORTE,851,87,205,59,351
12ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,57,0,0,57
12ºCRS,ARAGUAIA,OURILANDIA DO NORTE,1205,114,1002,0,1116
12ºCRS,ARAGUAIA,PAU D'ARCO,237,64,95,0,159
12ºCRS,ARAGUAIA,REDENCAO,765,195,49,0,244
12ºCRS,ARAGUAIA,RIO MARIA,124,85,0,0,85
12ºCRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,76,0,0,76
12ºCRS,ARAGUAIA,SANTANA DO ARAGUAIA,234,93,14,0,107
12ºCRS,ARAGUAIA,SAO FELIX DO XINGU,1115,141,854,0,995
12ºCRS,ARAGUAIA,SAPUCAIA,62,34,0,3,37
12ºCRS,ARAGUAIA,TUCUMA,334,99,0,0,99
12ºCRS,ARAGUAIA,XINGUARA,363,128,0,27,155
9º CRS,BAIXO AMAZONAS,ALENQUER,257,113,0,0,113
9º CRS,BAIXO AMAZONAS,ALMEIRIM,260,67,38,0,105
9º CRS,BAIXO AMAZONAS,BELTERRA,413,57,0,0,57
9º CRS,BAIXO AMAZONAS,CURUA,48,26,0,0,26
9º CRS,BAIXO AMAZONAS,FARO,87,63,0,0,63
9º CRS,BAIXO AMAZONAS,JURUTI,306,107,0,0,107
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,65,0,0,65
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,123,0,0,123
9º CRS,BAIXO AMAZONAS,OBIDOS,421,91,197,0,288
9º CRS,BAIXO AMAZONAS,ORIXIMINA,1780,105,1659,0,1764
9º CRS,BAIXO AMAZONAS,PLACAS,111,52,0,0,52
9º CRS,BAIXO AMAZONAS,PRAINHA,123,59,0,0,59
9º CRS,BAIXO AMAZONAS,SANTAREM,6475,1052,4404,0,5456
9º CRS,BAIXO AMAZONAS,TERRA SANTA,98,60,0,0,60
11º CRS,CARAJÁS,ABEL FIGUEIREDO,294,216,0,24,240
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,47,22,20,0,42
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,602,57,0,0,57
11º CRS,CARAJÁS,CANAA DOS CARAJAS,40,14,16,0,30
11º CRS,CARAJÁS,CURIONOPOLIS,361,56,0,0,56
5ºCRS,CARAJÁS,DOM ELISEU,91,70,0,0,70
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,107,70,0,0,70
11º CRS,CARAJÁS,ITUPIRANGA,561,95,417,0,512
11º CRS,CARAJÁS,MARABA,1609,431,0,0,431
11º CRS,CARAJÁS,NOVA IPIXUNA,70,43,0,0,43
11º CRS,CARAJÁS,PALESTINA DO PARA,42,27,0,0,27
11º CRS,CARAJÁS,PARAUAPEBAS,2296,341,1206,0,1547
11º CRS,CARAJÁS,PICARRA,60,44,0,0,44
11º CRS,CARAJÁS,RONDON DO PARA,203,90,0,0,90
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,136,107,21,0,128
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,363,66,266,0,332
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,92,56,0,0,56
11º CRS,LAGO TUCURUÍ,BREU BRANCO,354,59,0,0,59
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,167,83,39,10,132
11º CRS,LAGO TUCURUÍ,JACUNDA,202,65,34,0,99
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,203,101,77,19,197
6º CRS,LAGO TUCURUÍ,TAILANDIA,937,106,0,0,106
11º CRS,LAGO TUCURUÍ,TUCURUI,1109,294,297,0,591
7ºCRS,MARAJO I,AFUA,189,81,0,0,81
7ºCRS,MARAJO I,CACHOEIRA DO ARARI,56,29,0,0,29
7ºCRS,MARAJO I,CHAVES,81,50,0,0,50
7ºCRS,MARAJO I,MUANA,104,74,0,0,74
7ºCRS,MARAJO I,PONTA DE PEDRAS,94,48,0,0,48
7ºCRS,MARAJO I,SALVATERRA,66,31,0,0,31
7ºCRS,MARAJO I,SANTA CRUZ DO ARARI,63,50,0,0,50
7ºCRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,123,65,0,0,65
7ºCRS,MARAJO I,SOURE,111,86,0,0,86
8º CRS,MARAJO II,ANAJAS,90,57,0,0,57
8º CRS,MARAJO II,BAGRE,104,79,0,0,79
8º CRS,MARAJO II,BREVES,453,304,0,0,304
8º CRS,MARAJO II,CURRALINHO,96,77,0,0,77
8º CRS,MARAJO II,GURUPA,192,117,0,0,117
8º CRS,MARAJO II,MELGACO,141,63,0,0,63
8º CRS,MARAJO II,PORTEL,170,79,0,0,79
1º CRS,METROPOLITANA I,ANANINDEUA,3639,1005,0,0,1005
1º CRS,METROPOLITANA I,BELEM,19760,4911,0,0,4911
1º CRS,METROPOLITANA I,BENEVIDES,272,125,0,0,125
1º CRS,METROPOLITANA I,MARITUBA,780,214,0,0,214
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,109,72,0,0,72
2º CRS,METROPOLITANA II,ACARA,180,117,0,0,117
2º CRS,METROPOLITANA II,BUJARU,76,50,0,0,50
2º CRS,METROPOLITANA II,COLARES,63,29,0,0,29
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,121,83,0,0,83
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,377,121,0,0,121
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,119,92,0,0,92
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,73,32,0,0,32
2º CRS,METROPOLITANA II,TOME-ACU,680,116,401,17,534
2º CRS,METROPOLITANA II,VIGIA,244,216,0,0,216
5ºCRS,METROPOLITANA III,AURORA DO PARA,1446,113,0,0,113
5ºCRS,METROPOLITANA III,CAPITAO POCO,176,92,0,0,92
3ºCRS,METROPOLITANA III,CASTANHAL,191,72,0,0,72
3ºCRS,METROPOLITANA III,CURUCA,51,32,0,0,32
5ºCRS,METROPOLITANA III,GARRAFAO DO NORTE,40,27,0,0,27
3ºCRS,METROPOLITANA III,IGARAPE-ACU,125,85,0,0,85
3ºCRS,METROPOLITANA III,INHANGAPI,210,55,0,0,55
5ºCRS,METROPOLITANA III,IPIXUNA DO PARA,122,71,0,0,71
5ºCRS,METROPOLITANA III,IRITUIA,102,87,0,0,87
5ºCRS,METROPOLITANA III,MAE DO RIO,29,16,0,10,26
3ºCRS,METROPOLITANA III,MAGALHAES BARATA,48,30,0,0,30
3ºCRS,METROPOLITANA III,MARACANA,115,63,0,0,63
3ºCRS,METROPOLITANA III,MARAPANIM,295,80,0,0,80
5ºCRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,289,39,0,0,39
5ºCRS,METROPOLITANA III,PARAGOMINAS,221,142,60,0,202
5ºCRS,METROPOLITANA III,SANTA MARIA DO PARA,155,87,50,8,145
3ºCRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,147,49,0,0,49
3ºCRS,METROPOLITANA III,SAO FRANCISCO DO PARA,79,58,0,0,58
3ºCRS,METROPOLITANA III,SAO JOAO DA PONTA,1590,34,0,0,34
5ºCRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,441,78,0,0,78
3ºCRS,METROPOLITANA III,TERRA ALTA,261,191,0,0,191
5ºCRS,METROPOLITANA III,ULIANOPOLIS,285,164,0,0,164
4º CRS,RIO CAETES,AUGUSTO CORREA,173,65,0,0,65
4º CRS,RIO CAETES,BONITO,54,44,0,0,44
4º CRS,RIO CAETES,BRAGANCA,749,198,0,6,204
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,109,50,0,0,50
4º CRS,RIO CAETES,CAPANEMA,834,223,0,0,223
4º CRS,RIO CAETES,NOVA TIMBOTEUA,74,35,0,0,35
4º CRS,RIO CAETES,OUREM,65,55,0,0,55
4º CRS,RIO CAETES,PEIXE-BOI,39,29,0,7,36
4º CRS,RIO CAETES,PRIMAVERA,60,31,0,0,31
4º CRS,RIO CAETES,QUATIPURU,56,40,0,10,50
4º CRS,RIO CAETES,SALINOPOLIS,183,74,0,0,74
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,606,57,300,0,357
4º CRS,RIO CAETES,SANTAREM NOVO,36,20,0,0,20
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,91,57,0,19,76
4º CRS,RIO CAETES,TRACUATEUA,195,101,0,0,101
4º CRS,RIO CAETES,VISEU,260,98,0,0,98
9º CRS,TAPAJOS,AVEIRO,370,80,108,0,188
9º CRS,TAPAJOS,ITAITUBA,1138,267,463,0,730
9º CRS,TAPAJOS,JACAREACANGA,4801,45,1224,0,1269
9º CRS,TAPAJOS,NOVO PROGRESSO,811,56,283,14,353
9º CRS,TAPAJOS,RUROPOLIS,184,62,0,0,62
9º CRS,TAPAJOS,TRAIRAO,78,54,0,0,54
6º CRS,TOCANTINS,ABAETETUBA,951,742,0,11,753
13º CRS,TOCANTINS,BAIAO,891,89,40,0,129
6º CRS,TOCANTINS,BARCARENA,266,127,0,0,127
13º CRS,TOCANTINS,CAMETA,262,171,0,3,174
6º CRS,TOCANTINS,IGARAPE-MIRI,252,171,0,0,171
