CRS,MUNICIPIO,TRAB_SAUDE_40_vac,INDIGENAS_vac,MAIOR_60_vac,TOTAL
1º CRS,ANANINDEUA,726,0,2,728
1º CRS,BELEM,3918,0,34,3952
1º CRS,BENEVIDES,54,0,0,54
1º CRS,MARITUBA,147,0,9,156
1º CRS,SANTA BARBARA DO PARA,22,0,0,22
2º CRS,ACARA,36,0,0,36
2º CRS,BUJARU,15,0,0,15
2º CRS,COLARES,13,0,0,13
2º CRS,CONCORDIA DO PARA,24,0,0,24
2º CRS,SANTA ISABEL DO PARA,75,0,0,75
2º CRS,SANTO ANTONIO DO TAUA,24,0,0,24
2º CRS,SAO CAETANO DE ODIVELAS,15,0,0,15
2º CRS,TOME-ACU,64,71,1,136
2º CRS,VIGIA,49,0,0,49
3ºCRS,CASTANHAL,282,0,8,289
3ºCRS,CURUCA,35,0,0,35
3ºCRS,IGARAPE-ACU,38,0,0,38
3ºCRS,INHANGAPI,10,0,0,10
3ºCRS,MAGALHAES BARATA,8,0,0,8
3ºCRS,MARACANA,25,0,0,25
3ºCRS,MARAPANIM,42,0,0,42
3ºCRS,SAO DOMINGOS DO CAPIM,24,0,0,24
3ºCRS,SAO FRANCISCO DO PARA,20,0,0,20
3ºCRS,SAO JOAO DA PONTA,6,0,0,6
3ºCRS,TERRA ALTA,10,0,0,10
4º CRS,AUGUSTO CORREA,35,0,0,35
4º CRS,BONITO,11,0,0,11
4º CRS,BRAGANCA,150,0,0,150
4º CRS,CACHOEIRA DO PIRIA,22,0,0,22
4º CRS,CAPANEMA,163,0,4,167
4º CRS,NOVA TIMBOTEUA,15,0,0,15
4º CRS,OUREM,13,0,0,13
4º CRS,PEIXE-BOI,8,0,0,8
4º CRS,PRIMAVERA,12,0,0,12
4º CRS,QUATIPURU,11,0,0,11
4º CRS,SALINOPOLIS,37,0,0,37
4º CRS,SANTA LUZIA DO PARA,21,100,0,121
4º CRS,SANTAREM NOVO,7,0,0,7
4º CRS,SAO JOAO DE PIRABAS,18,0,0,18
4º CRS,TRACUATEUA,39,0,0,39
4º CRS,VISEU,52,0,0,52
5ºCRS,AURORA DO PARA,23,0,0,23
5ºCRS,CAPITAO POCO,59,0,0,59
5ºCRS,DOM ELISEU,59,0,0,59
5ºCRS,GARRAFAO DO NORTE,58,0,0,58
5ºCRS,IPIXUNA DO PARA,44,0,0,44
5ºCRS,IRITUIA,31,0,0,31
5ºCRS,MAE DO RIO,29,0,0,29
5ºCRS,NOVA ESPERANCA DO PIRIA,16,0,0,16
5ºCRS,PARAGOMINAS,159,155,4,318
5ºCRS,SANTA MARIA DO PARA,31,57,0,88
5ºCRS,SAO MIGUEL DO GUAMA,52,0,0,52
5ºCRS,ULIANOPOLIS,57,0,0,57
6º CRS,ABAETETUBA,190,0,0,190
6º CRS,BARCARENA,178,0,0,178
6º CRS,IGARAPE-MIRI,53,0,0,53
6º CRS,MOJU,35,17,0,52
6º CRS,TAILANDIA,71,0,0,71
7ºCRS,AFUA,38,0,0,38
7ºCRS,CACHOEIRA DO ARARI,11,0,0,11
7ºCRS,CHAVES,16,0,0,16
7ºCRS,MUANA,21,0,0,21
7ºCRS,PONTA DE PEDRAS,19,0,0,19
7ºCRS,SALVATERRA,13,0,0,13
7ºCRS,SANTA CRUZ DO ARARI,13,0,0,13
7ºCRS,SAO SEBASTIAO DA BOA VISTA,25,0,0,25
7ºCRS,SOURE,22,0,0,22
8º CRS,ANAJAS,18,0,0,18
8º CRS,BAGRE,21,0,0,21
8º CRS,BREVES,91,0,0,91
8º CRS,CURRALINHO,19,0,0,19
8º CRS,GURUPA,38,0,0,38
8º CRS,MELGACO,28,0,0,28
8º CRS,PORTEL,34,0,0,34
9º CRS,ALENQUER,51,0,0,51
9º CRS,ALMEIRIM,35,17,0,52
9º CRS,AVEIRO,12,62,0,74
9º CRS,BELTERRA,18,0,0,18
9º CRS,CURUA,10,0,0,10
9º CRS,FARO,17,0,0,17
9º CRS,ITAITUBA,140,82,6,228
9º CRS,JACAREACANGA,21,939,0,960
9º CRS,JURUTI,61,0,0,61
9º CRS,MOJUI DOS CAMPOS,14,0,0,14
9º CRS,MONTE ALEGRE,44,0,0,44
9º CRS,NOVO PROGRESSO,24,138,0,162
9º CRS,OBIDOS,48,36,0,84
9º CRS,ORIXIMINA,66,290,0,356
9º CRS,PLACAS,22,0,0,22
9º CRS,PRAINHA,25,0,0,25
9º CRS,RUROPOLIS,37,0,0,37
9º CRS,SANTAREM,521,768,6,1295
9º CRS,TERRA SANTA,20,0,0,20
9º CRS,TRAIRAO,16,0,0,16
10º CRS,ALTAMIRA,230,396,0,626
10º CRS,ANAPU,26,176,0,202
10º CRS,BRASIL NOVO,18,0,0,18
10º CRS,MEDICILANDIA,20,0,1,21
10º CRS,PACAJA,28,0,0,28
10º CRS,PORTO DE MOZ,25,3,0,28
10º CRS,SENADOR JOSE PORFIRIO,13,109,0,122
10º CRS,URUARA,40,0,0,40
10º CRS,VITORIA DO XINGU,28,57,0,84
11º CRS,ABEL FIGUEIREDO,9,0,0,9
11º CRS,BOM JESUS DO TOCANTINS,19,102,0,120
11º CRS,BREJO GRANDE DO ARAGUAIA,8,0,0,8
11º CRS,BREU BRANCO,32,0,1,33
11º CRS,CANAA DOS CARAJAS,65,7,0,72
11º CRS,CURIONOPOLIS,18,0,0,18
11º CRS,ELDORADO DOS CARAJAS,21,0,0,21
11º CRS,GOIANESIA DO PARA,32,8,0,40
11º CRS,ITUPIRANGA,36,74,3,112
11º CRS,JACUNDA,33,8,0,41
11º CRS,MARABA,317,0,5,322
11º CRS,NOVA IPIXUNA,14,0,0,14
11º CRS,NOVO REPARTIMENTO,69,118,0,187
11º CRS,PALESTINA DO PARA,8,0,0,8
11º CRS,PARAUAPEBAS,244,211,3,459
11º CRS,PICARRA,12,0,0,12
11º CRS,RONDON DO PARA,41,0,0,41
11º CRS,SAO DOMINGOS DO ARAGUAIA,22,5,0,27
11º CRS,SAO GERALDO DO ARAGUAIA,25,48,0,73
11º CRS,SAO JOAO DO ARAGUAIA,18,0,0,18
11º CRS,TUCURUI,166,53,3,222
12ºCRS,AGUA AZUL DO NORTE,23,0,0,23
12ºCRS,BANNACH,7,18,0,25
12ºCRS,CONCEICAO DO ARAGUAIA,98,0,2,100
12ºCRS,CUMARU DO NORTE,14,156,0,170
12ºCRS,FLORESTA DO ARAGUAIA,26,0,0,26
12ºCRS,OURILANDIA DO NORTE,64,176,1,241
12ºCRS,PAU D'ARCO,11,36,0,47
12ºCRS,REDENCAO,140,10,3,153
12ºCRS,RIO MARIA,25,0,0,25
12ºCRS,SANTA MARIA DAS BARREIRAS,26,0,0,26
12ºCRS,SANTANA DO ARAGUAIA,38,6,3,47
12ºCRS,SAO FELIX DO XINGU,69,150,4,223
12ºCRS,SAPUCAIA,9,0,3,12
12ºCRS,TUCUMA,67,0,0,67
12ºCRS,XINGUARA,71,0,2,73
13º CRS,BAIAO,33,18,0,50
13º CRS,CAMETA,121,0,0,121
13º CRS,LIMOEIRO DO AJURU,23,0,0,23
13º CRS,MOCAJUBA,24,0,0,24
13º CRS,OEIRAS DO PARA,28,0,0,28
