MUNICIPIOS,TOTAL_VAC_SIPNI,FUN_BUT,FUN_OSW,DoA,DoB,TRAB_SAUDE_75,INDIGENAS,MAIOR_60,IDOSOS_90e
ABAETETUBA,1455,934,521,1455,0,1455,0,0,0
ABEL FIGUEIREDO,73,34,39,73,0,73,0,0,0
ACARA,428,283,145,372,56,376,0,2,45
AFUA,397,288,109,396,1,299,0,2,95
AGUA AZUL DO NORTE,138,98,40,138,0,138,0,0,0
ALENQUER,1088,432,656,931,157,524,0,0,560
ALMEIRIM,645,335,310,485,160,458,0,0,184
ALTAMIRA,1961,1108,853,1960,1,1940,0,17,1
ANAJAS,307,227,80,258,49,230,0,0,77
ANANINDEUA,4777,4777,0,4667,110,3283,0,264,888
ANAPU,349,328,21,342,7,151,197,1,0
AUGUSTO CORREA,407,266,141,371,36,348,0,0,59
AURORA DO PARA,191,115,76,191,0,191,0,0,0
AVEIRO,339,290,49,315,24,130,0,0,83
BAGRE,344,253,91,245,99,294,0,0,50
BAIAO,324,256,68,255,69,296,0,0,28
BANNACH,80,61,19,73,7,56,0,0,24
BARCARENA,1919,1180,739,1769,150,1799,0,1,119
BELEM,17580,17573,7,17576,4,8126,0,284,9122
BELTERRA,214,184,30,210,4,120,0,0,93
BENEVIDES,670,670,0,548,122,626,0,21,23
BOM JESUS DO TOCANTINS,226,145,81,225,1,207,0,0,19
BONITO,136,70,66,119,17,136,0,0,0
BRAGANCA,2204,1559,645,1607,597,2092,0,0,112
BRASIL NOVO,114,60,54,114,0,103,0,6,5
BREJO GRANDE DO ARAGUAIA,83,42,41,83,0,83,0,0,0
BREU BRANCO,325,162,163,325,0,320,0,5,0
BREVES,1757,1307,450,1444,313,1308,0,1,446
BUJARU,181,100,81,179,2,168,0,0,13
CACHOEIRA DO ARARI,244,164,80,214,30,169,0,0,75
CACHOEIRA DO PIRIA,150,106,44,150,0,143,0,0,5
CAMETA,779,548,231,778,1,777,0,0,2
CANAA DOS CARAJAS,678,389,289,678,0,663,0,0,15
CAPANEMA,1499,1155,344,1311,188,1418,0,41,40
CAPITAO POCO,1274,1017,257,1063,211,756,453,0,65
CASTANHAL,3119,2198,921,2486,633,2921,0,39,156
CHAVES,160,87,73,160,0,131,0,21,3
COLARES,120,69,51,120,0,113,0,0,7
CONCEICAO DO ARAGUAIA,1233,825,408,1063,170,1034,0,0,198
CONCORDIA DO PARA,349,255,94,258,91,306,0,0,29
CUMARU DO NORTE,66,57,9,66,0,62,4,0,0
CURIONOPOLIS,149,73,76,149,0,142,0,5,2
CURRALINHO,361,273,88,278,83,269,0,0,91
CURUA,165,45,120,165,0,87,0,0,78
CURUCA,668,508,160,494,174,520,0,0,148
DOM ELISEU,349,203,146,318,31,349,0,0,0
ELDORADO DOS CARAJAS,205,120,85,202,3,205,0,0,0
FARO,292,163,129,232,60,208,0,0,81
FLORESTA DO ARAGUAIA,149,98,51,144,5,139,0,0,8
GARRAFAO DO NORTE,302,247,55,285,17,302,0,0,0
GOIANESIA DO PARA,166,166,0,166,0,151,15,0,0
GURUPA,408,287,121,313,95,408,0,0,0
IGARAPE-ACU,374,189,185,374,0,367,0,7,0
IGARAPE-MIRI,624,410,214,592,32,515,0,109,0
INHANGAPI,141,91,50,108,33,141,0,0,0
IPIXUNA DO PARA,464,253,211,412,52,450,0,0,14
IRITUIA,319,241,78,258,61,269,0,0,48
ITAITUBA,1651,1449,202,1641,10,1037,133,22,455
ITUPIRANGA,461,308,153,373,88,412,0,13,32
JACAREACANGA,439,439,0,438,1,75,359,0,0
JACUNDA,295,160,135,295,0,295,0,0,0
JURUTI,409,179,230,409,0,269,0,69,71
LIMOEIRO DO AJURU,254,140,114,242,12,238,0,0,16
MAE DO RIO,433,282,151,328,105,414,0,19,0
MAGALHAES BARATA,84,55,29,67,17,84,0,0,0
MARABA,677,16,661,677,0,670,0,6,1
MARACANA,207,124,83,207,0,207,0,0,0
MARAPANIM,473,279,194,469,4,203,0,0,50
MARITUBA,1756,1756,0,1267,489,1608,0,76,72
MEDICILANDIA,282,171,111,226,56,274,0,7,1
