CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TOTAL_VAC_SIPNI_1,TOTAL_VAC_SIPNI_2,FUN_BUT,FUN_OSW,DoA,DoA_COBERT,DoB,DoB_COBERT,TRAB_SAUDE_75_POP,TRAB_SAUDE_75_VAC,INDIGENAS_POP,INDIGENAS_VAC,MAIOR_60_POP,MAIOR_60_VAC,IDOSOS_90e_POP,IDOSOS_90e_VAC,TOTAL_VAC_1,POP_TOTAL_1
1 CRS,METROPOLITANA I,ANANINDEUA,11990,6057,6053,6057,0,5806,43.26,251,2.53,7679,3995,0,4,277,104,5466,1973,6076,13422
1 CRS,METROPOLITANA I,BELEM,67670,21493,21464,19924,1569,21328,28.41,165,0.27,48613,14200,0,29,270,356,26178,11469,26054,75061
1 CRS,METROPOLITANA I,BENEVIDES,943,776,776,776,0,588,45.48,188,27.21,600,511,0,0,70,17,623,21,549,1293
1 CRS,METROPOLITANA I,MARITUBA,2251,1724,1724,1724,0,1238,59.95,486,39.67,1060,1144,0,0,76,23,929,89,1256,2065
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,280,280,280,0,212,47.11,68,30.22,214,201,0,0,0,7,236,11,219,450
10 CRS,XINGU,ALTAMIRA,11994,3454,2686,2337,1117,3143,71.87,311,9.92,3116,2306,0,768,16,64,1241,2,3140,4373
10 CRS,XINGU,ANAPU,416,390,193,355,35,346,82.58,44,17.05,255,286,0,197,2,7,162,1,491,419
10 CRS,XINGU,BRASIL NOVO,328,127,127,74,53,117,28.68,10,5.26,177,88,0,0,5,4,226,8,100,408
10 CRS,XINGU,MEDICILANDIA,379,298,298,190,108,233,46.60,65,25.39,229,214,0,0,17,8,254,10,232,500
10 CRS,XINGU,PACAJA,528,278,278,189,89,217,29.09,61,15.80,369,175,0,0,0,3,377,17,195,746
10 CRS,XINGU,PORTO DE MOZ,456,308,302,191,117,256,45.63,52,15.85,311,206,0,6,0,3,250,17,232,561
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,348,162,297,51,304,140.09,44,28.21,150,223,0,186,6,8,61,0,417,217
10 CRS,XINGU,URUARA,656,318,318,267,51,263,36.08,55,13.78,385,220,0,0,0,3,344,14,237,729
10 CRS,XINGU,VITORIA DO XINGU,444,431,243,325,106,431,102.38,0,0.00,293,344,0,188,0,5,128,13,550,421
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,68,68,30,38,68,35.05,0,0.00,97,47,0,0,0,0,97,0,47,194
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,276,276,198,78,220,56.12,56,26.17,193,194,0,0,0,2,199,21,217,392
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,106,106,68,38,98,49.00,8,8.08,90,83,0,0,0,0,110,9,92,200
11 CRS,LAGO TUCURUI,BREU BRANCO,633,309,309,152,157,309,31.92,0,0.00,414,211,0,0,5,3,549,0,214,968
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,725,725,444,281,649,75.47,76,10.56,706,492,0,0,0,17,154,14,523,860
11 CRS,CARAJAS,CURIONOPOLIS,361,141,141,66,75,141,27.38,0,0.00,188,100,0,0,4,3,323,2,105,515
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,189,189,107,82,186,37.27,3,1.39,216,150,0,0,0,2,283,0,152,499
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,152,138,152,0,152,26.57,0,0.00,296,128,0,14,0,1,276,0,143,572
11 CRS,CARAJAS,ITUPIRANGA,1471,469,469,317,152,362,39.91,107,22.81,426,310,0,0,11,8,470,32,350,907
11 CRS,LAGO TUCURUI,JACUNDA,736,310,310,143,167,310,31.86,0,0.00,417,224,0,0,0,1,556,0,225,973
11 CRS,CARAJAS,MARABA,5492,4476,3435,3036,1440,4243,70.46,233,5.80,3758,3198,0,1041,91,64,2173,165,4468,6022
11 CRS,CARAJAS,NOVA IPIXUNA,250,163,163,112,51,136,44.01,27,16.88,144,107,0,0,0,2,165,16,125,309
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,446,446,308,138,446,36.38,0,0.00,690,318,0,0,0,5,536,10,333,1226
11 CRS,CARAJAS,PALESTINA DO PARA,162,113,113,75,38,98,48.04,15,14.85,92,81,0,0,0,3,112,9,93,204
