CRS,REGIA_SAU,MUNICIPIO,TOTAL_VAC,TRAB_SAUDE_40,TRAB_SAUDE_40_COBERT,INDIGENAS,INDIGENAS_COBERT,MAIOR_60,MAIOR_60_COBERT,TOTAL_VAC,TOTAL_COBERT
1º CRS,ARAGUAIA,AGUA AZUL DO NORTE,115,27,24,0,0,5,4,4,32,28
3ºCRS,ARAGUAIA,BANNACH,126,48,38,41,32,40,31,6,129,102
4º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,498,23,5,0,0,0,0,0,23,5
4º CRS,ARAGUAIA,CUMARU DO NORTE,851,65,8,10,1,23,2,7,98,12
5ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,20,15,0,0,0,0,0,20,15
9º CRS,ARAGUAIA,OURILANDIA DO NORTE,1205,30,2,396,33,0,0,0,426,35
9º CRS,ARAGUAIA,PAU D'ARCO,237,46,19,30,13,0,0,0,76,32
10º CRS,ARAGUAIA,REDENCAO,765,16,2,23,3,0,0,0,39,5
10º CRS,ARAGUAIA,RIO MARIA,124,50,40,0,0,0,0,0,50,40
11º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,40,31,0,0,0,0,0,40,31
11º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,234,41,18,14,6,0,0,0,55,23
11º CRS,ARAGUAIA,SAO FELIX DO XINGU,1115,51,5,338,30,0,0,0,389,35
12ºCRS,ARAGUAIA,SAPUCAIA,62,18,29,0,0,1,1,6,19,31
12ºCRS,ARAGUAIA,TUCUMA,334,12,4,0,0,0,0,0,12,4
13º CRS,ARAGUAIA,XINGUARA,363,35,10,0,0,8,2,2,43,12
2º CRS,BAIXO AMAZONAS,ALENQUER,257,45,18,0,0,0,0,0,45,18
2º CRS,BAIXO AMAZONAS,ALMEIRIM,260,19,7,38,15,0,0,0,57,22
3ºCRS,BAIXO AMAZONAS,BELTERRA,413,31,8,0,0,0,0,0,31,8
5ºCRS,BAIXO AMAZONAS,CURUA,48,10,21,0,0,0,0,0,10,21
5ºCRS,BAIXO AMAZONAS,FARO,87,37,43,0,0,0,0,0,37,43
7ºCRS,BAIXO AMAZONAS,JURUTI,306,26,8,0,0,0,0,0,26,8
8º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,43,60,0,0,0,0,0,43,60
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,64,29,0,0,0,0,0,64,29
9º CRS,BAIXO AMAZONAS,OBIDOS,421,27,6,81,19,0,0,0,108,26
9º CRS,BAIXO AMAZONAS,ORIXIMINA,1780,18,1,653,37,0,0,0,671,38
9º CRS,BAIXO AMAZONAS,PLACAS,111,20,18,0,0,0,0,0,20,18
10º CRS,BAIXO AMAZONAS,PRAINHA,123,24,20,0,0,0,0,0,24,20
11º CRS,BAIXO AMAZONAS,SANTAREM,6475,396,6,1727,27,0,0,0,2123,33
12ºCRS,BAIXO AMAZONAS,TERRA SANTA,98,31,32,0,0,0,0,0,31,32
