CRS,REGIAO_SAU,MUNICIPIO,TOTAL_VAC_FASE_1,TRAB_SAUDE_40,TRAB_SAUDE_40_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC
6º CRS,TOCANTINS,ABAETETUBA,2377,951,608,0,0,0,0
11º CRS,CARAJÁS,ABEL FIGUEIREDO,117,47,31,0,0,0,0
2º CRS,METROPOLITANA II,ACARA,450,180,100,0,0,0,0
7ºCRS,MARAJO I,AFUA,473,189,118,0,0,0,0
12ºCRS,ARAGUAIA,AGUA AZUL DO NORTE,287,115,29,0,0,0,0
9º CRS,BAIXO AMAZONAS,ALENQUER,642,257,154,0,0,0,0
9º CRS,BAIXO AMAZONAS,ALMEIRIM,440,176,146,0,0,0,0
10º CRS,XINGU,ALTAMIRA,2881,1152,166,1978,0,0,0
8º CRS,MARAJO II,ANAJAS,225,90,37,0,0,0,0
1º CRS,METROPOLITANA I,ANANINDEUA,9071,3628,1391,0,0,11,0
10º CRS,XINGU,ANAPU,319,128,83,882,0,0,0
4º CRS,RIO CAETES,AUGUSTO CORREA,433,173,81,0,0,0,0
5ºCRS,METROPOLITANA III,AURORA DO PARA,287,115,53,0,0,0,0
9º CRS,TAPAJOS,AVEIRO,150,60,29,310,0,0,0
8º CRS,MARAJO II,BAGRE,260,104,100,0,0,0,0
13º CRS,TOCANTINS,BAIAO,407,163,107,89,0,0,0
12ºCRS,ARAGUAIA,BANNACH,91,36,27,90,0,0,0
6º CRS,TOCANTINS,BARCARENA,2228,891,0,0,0,0,0
1º CRS,METROPOLITANA I,BELEM,48970,19588,2277,0,0,172,0
9º CRS,BAIXO AMAZONAS,BELTERRA,219,88,65,320,0,0,0
1º CRS,METROPOLITANA I,BENEVIDES,680,272,121,0,0,0,0
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,235,94,94,508,0,0,0
4º CRS,RIO CAETES,BONITO,136,54,33,0,0,0,0
4º CRS,RIO CAETES,BRAGANCA,1872,749,500,0,0,0,0
10º CRS,XINGU,BRASIL NOVO,225,90,17,0,0,0,0
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,101,40,21,0,0,0,0
11º CRS,LAGO TUCURUÍ,BREU BRANCO,406,162,95,0,0,5,0
8º CRS,MARAJO II,BREVES,1132,405,405,0,0,0,0
2º CRS,METROPOLITANA II,BUJARU,190,76,45,0,0,0,0
7ºCRS,MARAJO I,CACHOEIRA DO ARARI,139,56,44,0,0,0,0
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,272,109,44,0,0,0,0
13º CRS,TOCANTINS,CAMETA,1507,603,344,0,0,0,0
11º CRS,CARAJÁS,CANAA DOS CARAJAS,816,326,174,35,0,0,0
4º CRS,RIO CAETES,CAPANEMA,2038,815,189,0,0,19,0
5ºCRS,METROPOLITANA III,CAPITAO POCO,737,295,158,0,0,0,0
